0,1,2,3,4,5
PWGTP,SOCP,SCHL_RC1,SCHL,PUMA,STATE
172,N,1,0,23304,53
108,131161,5,24,23304,53
100,1110XX,5,24,23304,53
88,192099,4,21,23304,53
87,353031,2,16,23304,53
88,151211,4,21,23304,53
71,273043,2,16,23304,53
42,151252,4,21,23304,53
45,N,1,14,23304,53
66,151252,4,21,23304,53
64,413021,4,21,23304,53
101,113021,5,22,23304,53
63,112021,4,21,23304,53
59,N,4,21,23304,53
205,N,4,21,23304,53
31,172011,5,22,23304,53
62,N,5,23,23304,53
70,112022,4,21,23304,53
98,252020,5,22,23304,53
112,131161,4,21,23304,53
101,N,2,16,23304,53
54,113021,5,24,23304,53
39,151252,5,24,23304,53
40,192099,5,24,23304,53
39,1191XX,5,22,23304,53
32,N,1,3,23304,53
256,533030,4,21,23304,53
271,435021,2,16,23304,53
264,113071,4,21,23304,53
57,259040,4,21,23304,53
61,272012,4,21,23304,53
52,N,1,10,23304,53
239,172070,5,22,23304,53
244,N,5,23,23304,53
211,N,1,2,23304,53
65,172011,5,22,23304,53
61,113071,4,20,23304,53
58,N,3,19,23304,53
61,291210,5,23,23304,53
71,113021,5,22,23304,53
50,1191XX,5,22,23304,53
24,412010,2,16,23304,53
235,151252,5,22,23304,53
230,1191XX,5,22,23304,53
76,1721YY,5,22,23304,53
77,1191XX,4,21,23304,53
72,4990XX,4,21,23304,53
84,N,1,2,23304,53
90,N,1,0,23304,53
55,412010,3,19,23304,53
128,151252,4,21,23304,53
126,192099,4,21,23304,53
61,N,5,23,23304,53
68,N,3,19,23304,53
71,131082,4,21,23304,53
50,N,4,21,23304,53
50,412010,2,16,23304,53
39,412010,2,16,23304,53
66,131161,4,21,23304,53
69,172051,4,21,23304,53
33,112022,4,21,23304,53
36,252020,4,21,23304,53
62,151212,4,20,23304,53
57,292052,3,19,23304,53
94,131082,4,21,23304,53
68,151252,4,21,23304,53
79,N,1,0,23304,53
156,433031,4,21,23304,53
120,434051,4,21,23304,53
131,N,1,0,23304,53
60,N,3,18,23304,53
76,1191XX,3,18,23304,53
7,N,1,13,23304,53
7,N,3,19,23304,53
